iter	Passed	Remaining
842	6422	1196
843	6431	1188
844	6443	1181
845	6454	1174
846	6462	1167
847	6472	1160
848	6480	1152
849	6490	1145
850	6500	1138
851	6508	1130
852	6518	1123
853	6527	1115
854	6537	1108
855	6546	1101
856	6556	1093
857	6564	1086
858	6573	1079
859	6583	1071
860	6591	1064
861	6601	1056
862	6609	1049
863	6619	1042
864	6627	1034
865	6637	1027
866	6645	1019
867	6653	1011
868	6662	1004
869	6671	996
870	6680	989
871	6690	982
872	6700	974
873	6708	967
874	6718	959
875	6726	952
876	6736	944
877	6744	937
878	6752	929
879	6761	922
880	6770	914
881	6779	907
882	6787	899
883	6797	892
884	6805	884
885	6816	877
886	6825	869
887	6835	862
888	6844	854
889	6852	846
890	6864	839
891	6874	832
892	6884	824
893	6897	817
894	6911	810
895	6922	803
896	6933	796
897	6944	788
898	6954	781
899	6965	773
900	6976	766
901	6985	758
902	7007	752
903	7026	746
904	7054	740
905	7066	733
906	7079	725
907	7091	718
908	7100	710
909	7111	703
910	7121	695
911	7130	688
912	7141	680
913	7150	672
914	7161	665
915	7174	657
916	7194	651
917	7210	644
918	7223	636
919	7239	629
920	7250	621
921	7262	614
922	7274	606
923	7284	599
924	7294	591
925	7305	583
926	7315	576
927	7325	568
928	7338	560
929	7351	553
930	7367	546
931	7377	538
932	7388	530
933	7399	522
934	7409	515
935	7420	507
936	7434	499
937	7446	492
938	7471	485
939	7485	477
940	7496	469
941	7506	462
942	7520	454
943	7533	446
944	7543	439
945	7555	431
946	7569	423
947	7579	415
948	7590	407
949	7602	400
950	7614	392
951	7623	384
952	7636	376
953	7650	368
954	7662	361
955	7682	353
956	7694	345
957	7705	337
958	7717	329
959	7728	322
960	7739	314
961	7751	306
962	7765	298
963	7778	290
964	7788	282
965	7803	274
966	7817	266
967	7832	258
968	7847	251
969	7862	243
970	7876	235
971	7887	227
972	7899	219
973	7927	211
974	7948	203
975	7966	195
976	7980	187
977	7996	179
978	8013	171
979	8029	163
980	8043	155
981	8056	147
982	8067	139
983	8081	131
984	8096	123
985	8110	115
986	8121	106
987	8131	98
988	8142	90
989	8152	82
990	8163	74
991	8179	65
992	8194	57
993	8206	49
994	8220	41
995	8229	33
996	8244	24
997	8268	16
998	8285	8
999	8297	0
